,name,category,price,reference_price,reference_unit,insert_date,subcategoria
0,RIEGELEIN figura de chocolate con leche Reyes Magos 1 ud 60 gr  (modelo aleatorio),snacks,1.09,18.17,Kg,2023-01-19,dulces
1,DIA DULCE NOEL roscón de Reyes premium con nata caja 550 gr,desayunos,6.99,12.71,Kg,2023-01-19,bolleria
2,DIA DULCE NOEL mini roscón de Reyes premium con nata caja 200 gr,desayunos,3.99,19.95,Kg,2023-01-19,bolleria
3,DIA DULCE NOEL roscón de Reyes relleno caja 550 gr,desayunos,4.99,9.07,Kg,2023-01-19,bolleria
4,DIA DULCE NOEL roscón de Reyes sin relleno caja 400 gr,desayunos,4.49,11.23,Kg,2023-01-19,bolleria
5,DIA DULCE NOEL roscón de Reyes relleno sabor trufa caja 550 gr,desayunos,4.99,9.07,Kg,2023-01-19,bolleria
6,NESTLE lote chocolate extrafino y peluche caja 176 gr (modelo aleatorio),snacks,7.99,30.73,Kg,2023-01-19,dulces
7,NICKELODEON calendario adviento caja 75 gr (modelo aleatorio),snacks,1.79,23.87,Kg,2023-01-19,chocolate
8,NICKELODEON mix de chocolate adorno de Navidad 20 gr (modelo aleatorio),snacks,2.29,114.5,Kg,2023-01-19,dulces
9,NICKELODEON mix de caramelos calcetín de Navidad lata 80 gr (modelo aleatorio),snacks,4.49,56.13,Kg,2023-01-19,dulces
10,DIA DULCE NOEL roscón de nata caja 550 gr,desayunos,6.99,12.71,Kg,2023-01-19,bolleria
11,DIA DULCE NOEL roscón de Reyes premium capricho con nata caja 500 gr,desayunos,6.99,13.98,Kg,2023-01-19,bolleria
12,NICKELODEON bastón de caramelo de navidad patrulla canina caja 100 gr ,snacks,4.49,44.9,Kg,2023-01-19,dulces
13,NICKELODEON bastón de caramelo patrulla canina caja 57 gr,snacks,1.79,31.4,Kg,2023-01-19,dulces
14,MULLER&MUL calendario adviento reyes magos caja 75 gr,snacks,1.39,18.53,Kg,2023-01-19,chocolate
15,DIA VEGECAMPO maíz dulce lata 285 gr,despensa,0.95,3.33,Kg,2023-01-19,conservas
16,DIA batido de chocolate botella 1 lt,huevos_lacteos_derivados,1.15,1.15,l,2023-01-19,leche
17,DIA VEGECAMPO canela molida frasco 38 gr,despensa,0.69,18.16,Kg,2023-01-19,especias
18,DIA colorante alimentario frasco 60 gr,despensa,0.75,12.5,Kg,2023-01-19,especias
19,DIA VEGECAMPO champiñones enteros lata 185 gr,despensa,1.39,7.51,Kg,2023-01-19,conservas
20,OSCAR MAYER salchichas jumbo classic envase 350 gr,carniceria,2.65,7.57,Kg,2023-01-19,embutidos
21,UBAGO melva en aceite de oliva lata 85  gr,despensa,2.55,30.0,Kg,2023-01-19,conservas
22,DIA VEGECAMPO menestra de verduras bolsa 1 kg,congelados,1.34,1.34,Kg,2023-01-19,vegetales_cong
23,DIA AL PUNTO mini empanadillas de atún bolsa 400 gr,congelados,1.55,3.88,Kg,2023-01-19,precocinados_cong
24,GALLINA BLANCA sopa de verduras sobre 51 gr,precocinados,0.75,14.71,Kg,2023-01-19,precocinados
25,GALLINA BLANCA tallarines carbonara sobre 144 gr,despensa,2.09,14.62,Kg,2023-01-19,pastas
26,GALLINA BLANCA tallarines parmesana sobre 145 gr,despensa,2.09,14.62,Kg,2023-01-19,pastas
27,NATIVA leche crecimiento original +12 meses envase 1 lt ,bebe,1.89,1.89,l,2023-01-19,alimentacion
28,DIA SNACK MANIAC tiras de maíz bolsa 150 gr ,snacks,0.85,5.67,Kg,2023-01-19,aperitivos
29,MAHOU cerveza clásica botella 1 lt,alcoholicas,1.79,1.79,l,2023-01-19,cervezas
30,LA ESPAÑOLA aceite de oliva suave botella 1 lt,despensa,7.34,7.34,l,2023-01-19,aceites
31,DIA TEMPTATION chocolate negro tableta 100 gr,snacks,0.65,6.5,Kg,2023-01-19,bombones
32,DIA GALLETECA chocoaros de chocolate negro paquete 150 gr,desayunos,0.79,5.27,Kg,2023-01-19,bolleria
33,DIA lejía con detergente botella 2 lt,cuidado_higiene_hogar,1.17,0.59,l,2023-01-19,hogar
34,DIA VEGECAMPO champiñones laminados lata 185 gr,despensa,1.0,5.41,Kg,2023-01-19,conservas
35,NESTLE chocolate con almendras tableta 123 gr,snacks,1.59,12.93,Kg,2023-01-19,bombones
36,MAHOU cerveza clásica pack 12 latas 33 cl,alcoholicas,8.39,2.12,l,2023-01-19,cervezas
37,NESCAFE café descafeinado caja 10 sobres,desayunos,1.49,74.5,Kg,2023-01-19,cafe
38,NESCAFE café soluble descafeinado frasco 100 gr,desayunos,4.19,41.9,Kg,2023-01-19,cafe
39,NESCAFE café soluble natural frasco 100 gr,desayunos,3.99,39.9,Kg,2023-01-19,cafe
40,LA VACA QUE RIE queso fundido light 16 porciones caja 250 gr,,2.88,11.52,Kg,2023-01-19,quesos
41,GALLINA BLANCA sopa de pollo con maravilla sobre 85 gr,precocinados,0.75,8.82,Kg,2023-01-19,precocinados
42,CELTA leche entera envase 1.5 lt,huevos_lacteos_derivados,1.63,1.09,l,2023-01-19,leche
43,CELTA leche desnatada envase 1 lt,huevos_lacteos_derivados,1.63,1.63,l,2023-01-19,leche
44,LA CASERA gaseosa botella 1.5 lt,bebidas,1.19,0.79,l,2023-01-19,refrescos
45,COCA-COLA light botella 2 lt,bebidas,2.19,1.1,l,2023-01-19,refrescos
46,COCA-COLA sin cafeína botella 2 lt,bebidas,2.39,1.2,l,2023-01-19,refrescos
