,Unnamed: 0.1,Unnamed: 0,name,category,price,reference_price,reference_unit,insert_date,category_id
0,0.0,0.0,Rodaja de emperador,Marisco_y_pescado_Pescado_en_bandeja,8.18,20.45,kg,2023-01-19,33
1,1.0,1.0,Escalopines de salmón sin espinas,Marisco_y_pescado_Pescado_en_bandeja,9.58,23.95,kg,2023-01-19,33
2,2.0,2.0,Filetes lomo de merluza,Marisco_y_pescado_Pescado_en_bandeja,8.38,20.95,kg,2023-01-19,33
3,3.0,3.0,Rodajas de salmón,Marisco_y_pescado_Pescado_en_bandeja,7.7,19.25,kg,2023-01-19,33
4,4.0,4.0,Bacalao al punto de sal,Marisco_y_pescado_Pescado_en_bandeja,7.48,14.95,kg,2023-01-19,33
5,5.0,5.0,Filetes de lubina,Marisco_y_pescado_Pescado_en_bandeja,8.92,22.3,kg,2023-01-19,33
6,6.0,6.0,Langostino cocido Hacendado,Marisco_y_pescado_Marisco,6.9,11.5,kg,2023-01-19,33
7,7.0,7.0,Filetes de dorada,Marisco_y_pescado_Pescado_en_bandeja,8.4,22.1,kg,2023-01-19,33
8,8.0,8.0,Filete de salmón,Marisco_y_pescado_Pescado_en_bandeja,8.98,22.45,kg,2023-01-19,33
9,9.0,9.0,Arreglo para paella de marisco,Marisco_y_pescado_Marisco,5.96,9.93,kg,2023-01-19,33
10,10.0,10.0,Mejillón vivo y limpio,Marisco_y_pescado_Marisco,2.95,3.934,kg,2023-01-19,33
11,11.0,11.0,Plancha de salmón,Marisco_y_pescado_Pescado_en_bandeja,20.31,22.95,kg,2023-01-19,33
12,12.0,12.0,Rodajas de atún de aleta amarilla,Marisco_y_pescado_Pescado_en_bandeja,5.42,22.95,kg,2023-01-19,33
13,13.0,13.0,Tajadas de bacalao Hacendado desaladas,Marisco_y_pescado_Pescado_en_bandeja,4.95,20.625,kg,2023-01-19,33
14,14.0,14.0,Migas de bacalao saladas Hacendado,Marisco_y_pescado_Pescado_en_bandeja,5.19,20.76,kg,2023-01-19,33
15,15.0,15.0,Hoja de bacalao Hacendado,Marisco_y_pescado_Pescado_en_bandeja,13.36,16.7,kg,2023-01-19,33
16,16.0,16.0,Trozos de bacalao salado Hacendado,Marisco_y_pescado_Pescado_en_bandeja,4.35,10.875,kg,2023-01-19,33
17,17.0,17.0,Patas de pulpo cocido,Marisco_y_pescado_Pescado_en_bandeja,10.5,42.0,kg,2023-01-19,33
18,18.0,18.0,Elaborado de merluza y gambón Hacendado,Marisco_y_pescado_Pescado_en_bandeja,3.5,14.584,kg,2023-01-19,33
19,19.0,19.0,Merluza rebozada Hacendado,Marisco_y_pescado_Pescado_en_bandeja,3.75,16.305,kg,2023-01-19,33
20,20.0,20.0,Calamar pequeño limpio patagónico Hacendado,Marisco_y_pescado_Pescado_en_bandeja,4.95,16.5,kg,2023-01-19,33
21,21.0,21.0,Filetes de trucha,Marisco_y_pescado_Pescado_en_bandeja,3.6,15.95,kg,2023-01-19,33
22,22.0,22.0,Anguriñas de surimi Pescanova,Marisco_y_pescado_Pescado_en_bandeja,2.11,8.44,kg,2023-01-19,33
23,23.0,23.0,Anguriñas de surimi Pescanova,Marisco_y_pescado_Pescado_en_bandeja,4.1,8.2,kg,2023-01-19,33
24,24.0,24.0,Bacalao estilo pil pil,Marisco_y_pescado_Pescado_en_bandeja,3.75,16.305,kg,2023-01-19,33
25,25.0,25.0,Salmón al curry Hacendado,Marisco_y_pescado_Pescado_en_bandeja,5.5,16.924,kg,2023-01-19,33
26,26.0,26.0,Anguriñas de surimi al ajillo Pescanova,Marisco_y_pescado_Pescado_en_bandeja,2.24,8.96,kg,2023-01-19,33
27,27.0,27.0,Salmón al curry con arroz,Marisco_y_pescado_Pescado_en_bandeja,3.5,12.728,kg,2023-01-19,33
28,28.0,28.0,Caracoles en caldo Helifrusa,Marisco_y_pescado_Pescado_en_bandeja,3.1,11.482,kg,2023-01-19,33
29,29.0,29.0,Salpicón de marisco Hacendado,Marisco_y_pescado_Pescado_en_bandeja,3.95,13.167,kg,2023-01-19,33
30,30.0,30.0,Filetes de merluza sin piel Hacendado ultracongelados,Congelados_Pescado,6.35,6.547,kg,2023-01-19,34
31,31.0,31.0,Filetes de panga ultracongelados,Congelados_Pescado,5.15,5.723,kg,2023-01-19,34
32,32.0,32.0,Filetes de merluza sin piel Hacendado ultracongelados,Congelados_Pescado,4.2,7.242,kg,2023-01-19,34
33,33.0,33.0,Rodaja de emperador Hacendado ultracongelado,Congelados_Pescado,3.18,17.667,kg,2023-01-19,34
34,34.0,34.0,Filetes de bacalao sin espinas Hacendado congelado,Congelados_Pescado,5.25,14.0,kg,2023-01-19,34
35,35.0,35.0,Medallones de merluza Hacendado ultracongelados,Congelados_Pescado,3.5,7.217,kg,2023-01-19,34
36,36.0,36.0,Filete de salmón rosado salvaje con piel Hacendado ultracongelado,Congelados_Pescado,3.18,11.158,kg,2023-01-19,34
37,37.0,37.0,Rodajas de merluza Hacendado ultracongeladas,Congelados_Pescado,4.2,7.242,kg,2023-01-19,34
38,38.0,38.0,Rodajas de emperador pequeñas Hacendado congeladas,Congelados_Pescado,10.95,12.167,kg,2023-01-19,34
39,39.0,39.0,Lomos y centros de merluza del cabo Hacendado ultracongelados,Congelados_Pescado,3.85,9.625,kg,2023-01-19,34
40,40.0,40.0,Anguriñas de surimi Pescanova ultracongeladas,Congelados_Pescado,2.3,8.847,kg,2023-01-19,34
41,41.0,41.0,Fritura de pescado Hacendado ultracongelada,Congelados_Pescado,5.45,9.084,kg,2023-01-19,34
42,42.0,42.0,Porciones de bacalao sin espinas y sin piel Hacendado congelado,Congelados_Pescado,7.4,12.334,kg,2023-01-19,34
43,43.0,43.0,Rodaja de tintorera sin piel Hacendado ultracongelada,Congelados_Pescado,2.68,5.95,kg,2023-01-19,34
44,44.0,44.0,Porciones de merluza Hacendado ultracongeladas,Congelados_Pescado,4.1,8.2,kg,2023-01-19,34
45,45.0,45.0,Pescadilla de merluza sin cabeza Mascato ultracongelada,Congelados_Pescado,4.6,4.6,kg,2023-01-19,34
